HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Leverkusen,H,150,91,56,27,68,113,7,14,0,0,6,2,1,2,0,3,1.25,6.0,12.0
Hamburg,Augsburg,H,89,82,42,26,99,94,12,12,1,0,3,3,1,2,3,2,2.1,3.4,3.6
Hertha,Stuttgart,H,74,83,36,30,109,117,8,13,1,1,3,0,2,1,3,7,2.0,3.4,3.9
Hoffenheim,Werder Bremen,H,101,75,28,44,110,115,14,12,0,0,4,0,3,4,1,3,1.75,4.0,4.33
Mainz,Hannover,A,105,86,36,22,123,115,16,20,1,0,4,2,1,2,3,4,2.0,3.4,4.0
Schalke 04,RB Leipzig,H,111,101,38,39,134,110,12,14,0,2,4,3,3,1,1,4,2.8,3.4,2.5
Wolfsburg,Dortmund,A,107,123,33,38,78,102,8,7,1,1,2,3,5,3,1,2,3.8,4.0,1.85
Freiburg,Ein Frankfurt,D,118,76,38,36,111,139,15,17,1,0,2,4,5,3,1,1,2.45,3.25,3.0
M'gladbach,FC Koln,H,104,82,45,45,79,112,12,16,0,1,4,0,1,2,2,6,1.91,3.5,4.1
FC Koln,Hamburg,A,98,74,32,41,86,111,9,11,0,1,0,1,1,1,5,5,1.95,3.4,4.0
Augsburg,M'gladbach,D,107,89,47,19,97,80,13,8,0,0,3,3,2,2,2,2,3.25,3.4,2.25
Dortmund,Hertha,H,99,51,29,14,70,93,10,10,2,1,3,1,1,3,2,2,1.36,5.0,7.5
Ein Frankfurt,Wolfsburg,A,87,45,34,13,84,86,12,10,1,1,2,1,1,3,3,2,2.3,3.25,3.3
Leverkusen,Hoffenheim,D,117,88,45,37,89,102,15,14,2,0,3,2,4,2,0,2,2.05,3.6,3.6
Stuttgart,Mainz,H,89,75,28,32,74,80,12,9,0,0,5,0,1,2,0,4,2.3,3.4,3.1
Werder Bremen,Bayern Munich,A,102,121,32,42,92,75,10,10,0,0,2,4,1,1,4,2,11.0,6.5,1.25
Hannover,Schalke 04,H,80,66,27,27,97,100,12,14,0,0,3,3,2,1,1,2,3.3,3.4,2.2
RB Leipzig,Freiburg,H,103,48,26,15,63,60,5,5,1,2,5,0,1,1,0,5,1.36,5.0,8.5
Hamburg,RB Leipzig,A,89,101,42,39,99,110,12,14,1,2,3,3,1,1,3,4,4.0,3.6,1.91
Augsburg,FC Koln,H,107,82,47,45,97,112,13,16,0,1,3,0,2,2,2,6,2.38,3.3,3.1
Freiburg,Dortmund,D,118,123,38,38,111,102,15,7,1,1,2,3,5,3,1,2,7.5,5.0,1.4
Hoffenheim,Bayern Munich,H,101,121,28,42,110,75,14,10,0,0,4,4,3,1,1,2,7.0,4.5,1.45
Mainz,Leverkusen,H,105,91,36,27,123,113,16,14,1,0,4,2,1,2,3,3,3.0,3.4,2.38
M'gladbach,Ein Frankfurt,A,104,76,45,36,79,139,12,17,0,0,4,4,1,3,2,1,1.83,3.6,4.5
Wolfsburg,Hannover,D,107,86,33,22,78,115,8,20,1,0,2,2,5,2,1,4,1.83,3.6,4.5
Hertha,Werder Bremen,D,74,75,36,44,109,115,8,12,1,0,3,0,2,4,3,3,1.91,3.6,4.0
Schalke 04,Stuttgart,H,111,83,38,30,134,117,12,13,0,1,4,0,3,1,1,7,1.7,3.75,5.0
Hannover,Hamburg,H,80,74,27,41,97,111,12,11,0,1,3,1,2,1,1,5,1.95,3.5,4.0
Bayern Munich,Mainz,H,150,75,56,32,68,80,7,9,0,0,6,0,1,2,0,4,1.13,10.0,19.0
Ein Frankfurt,Augsburg,A,87,82,34,26,84,94,12,12,1,0,2,3,1,2,3,2,1.85,3.5,4.5
RB Leipzig,M'gladbach,D,103,89,26,19,63,80,5,8,1,0,5,3,1,2,0,2,1.67,3.8,5.5
Stuttgart,Wolfsburg,H,89,45,28,13,74,86,12,10,0,1,5,1,1,3,0,2,2.3,3.5,3.0
