HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Wolfsburg,H,149,106,67,39,83,99,4,7,0,1,8,3,0,1,0,3,1.25,6.0,10.0
Dortmund,Leverkusen,A,126,90,53,26,84,150,13,16,0,2,3,2,1,2,3,3,1.57,4.33,5.0
Ein Frankfurt,Freiburg,H,119,62,43,29,127,128,19,20,1,1,4,1,1,4,3,3,2.05,3.4,3.6
FC Koln,Hamburg,D,67,83,25,27,81,126,6,19,0,0,1,1,2,1,4,5,2.0,3.5,3.6
Hannover,Schalke 04,H,79,75,38,24,97,102,13,18,0,1,4,2,0,0,3,5,2.9,3.5,2.3
Hertha,Werder Bremen,D,77,69,32,27,127,129,13,17,0,1,3,1,1,2,3,5,1.95,3.5,3.75
Hoffenheim,Augsburg,H,120,113,38,37,117,128,13,19,0,0,4,3,2,0,1,5,1.91,3.6,3.8
M'gladbach,Stuttgart,D,126,79,47,38,104,103,10,12,1,0,4,2,3,2,1,3,1.95,3.5,3.75
Paderborn,Mainz,D,123,93,41,24,103,135,9,18,0,0,3,1,4,4,1,3,3.1,3.4,2.25
Augsburg,Dortmund,A,78,115,21,44,86,97,11,13,0,0,5,1,0,1,1,5,4.5,3.75,1.73
Hamburg,Paderborn,A,85,71,37,24,147,87,18,10,0,1,3,1,2,1,2,4,1.67,3.8,5.0
Leverkusen,Hertha,H,158,66,54,35,103,145,13,18,1,1,4,1,3,1,0,5,1.44,4.5,6.5
Schalke 04,Bayern Munich,D,70,100,13,44,102,66,12,7,2,0,5,3,2,3,0,0,6.0,4.75,1.44
Stuttgart,FC Koln,A,91,61,44,21,99,88,10,11,1,0,1,3,1,1,5,3,2.0,3.5,3.6
Werder Bremen,Hoffenheim,D,92,76,43,27,100,124,13,14,0,1,2,1,2,3,2,3,3.2,3.5,2.15
Wolfsburg,Ein Frankfurt,D,124,73,45,28,95,93,7,11,0,1,6,2,1,2,0,2,1.57,4.33,5.0
Freiburg,M'gladbach,D,89,50,34,15,84,83,7,10,2,0,1,2,3,2,2,2,2.88,3.4,2.38
Mainz,Hannover,D,72,75,31,20,89,122,10,13,0,1,2,2,3,1,1,4,2.2,3.3,3.3
Leverkusen,Werder Bremen,D,158,69,54,27,103,129,13,17,1,1,4,1,3,2,0,5,1.3,5.5,9.0
Bayern Munich,Stuttgart,H,149,79,67,38,83,103,4,12,0,0,8,2,0,2,0,3,1.17,7.5,15.0
Dortmund,Freiburg,H,126,62,53,29,84,128,13,20,0,1,3,1,1,4,3,3,1.25,6.0,10.0
Hertha,Mainz,A,77,93,32,24,127,135,13,18,0,0,3,1,1,4,3,3,2.25,3.3,3.2
Hoffenheim,Wolfsburg,D,120,106,38,39,117,99,13,7,0,1,4,3,2,1,1,3,2.4,3.5,2.75
M'gladbach,Schalke 04,H,126,75,47,24,104,102,10,18,1,1,4,2,3,0,1,5,2.4,3.4,2.8
Paderborn,FC Koln,D,123,61,41,21,103,88,9,11,0,0,3,3,4,1,1,3,2.9,3.2,2.45
Ein Frankfurt,Augsburg,A,119,113,43,37,127,128,19,19,1,0,4,3,1,0,3,5,2.25,3.3,3.2
Hannover,Hamburg,H,79,83,38,27,97,126,13,19,0,0,4,1,0,1,3,5,2.2,3.4,3.2
Freiburg,Hertha,D,89,66,34,35,84,145,7,18,2,1,1,1,3,1,2,5,2.5,3.3,2.8
Augsburg,Werder Bremen,H,78,69,21,27,86,129,11,17,0,1,5,1,0,2,1,5,1.91,3.6,3.8
Hamburg,Bayern Munich,D,85,100,37,44,147,66,18,7,0,0,3,3,2,3,2,0,10.0,6.0,1.25
Mainz,Dortmund,H,72,115,31,44,89,97,10,13,0,0,2,1,3,1,1,5,5.0,4.33,1.57
Paderborn,Hannover,H,123,75,41,20,103,122,9,13,0,1,3,2,4,1,1,4,2.8,3.25,2.5
Schalke 04,Ein Frankfurt,D,70,73,13,28,102,93,12,11,2,1,5,2,2,2,0,2,1.73,3.8,4.5
Stuttgart,Hoffenheim,A,91,76,44,27,99,124,10,14,1,1,1,1,1,3,5,3,2.5,3.4,2.7
FC Koln,M'gladbach,D,67,50,25,15,81,83,6,10,0,0,1,2,2,2,4,2,2.75,3.3,2.5
Wolfsburg,Leverkusen,H,124,90,45,26,95,150,7,16,0,2,6,2,1,2,0,3,2.8,3.5,2.4
Bayern Munich,Paderborn,H,149,71,67,24,83,87,4,10,0,1,8,1,0,1,0,4,1.11,9.0,21.0
Ein Frankfurt,Mainz,D,119,93,43,24,127,135,19,18,1,0,4,1,1,4,3,3,2.38,3.3,2.9
Hoffenheim,Freiburg,D,120,62,38,29,117,128,13,20,0,1,4,1,2,4,1,3,1.62,4.0,5.25
Werder Bremen,Schalke 04,A,92,75,43,24,100,102,13,18,0,1,2,2,2,0,2,5,2.8,3.4,2.4
Dortmund,Stuttgart,D,126,79,53,38,84,103,13,12,0,0,3,2,1,2,3,3,1.36,5.0,7.5
Hannover,FC Koln,H,79,61,38,21,97,88,13,11,0,0,4,3,0,1,3,3,2.15,3.4,3.25
Hertha,Wolfsburg,H,77,106,32,39,127,99,13,7,0,1,3,3,1,1,3,3,3.0,3.5,2.25
Leverkusen,Augsburg,H,158,113,54,37,103,128,13,19,1,0,4,3,3,0,0,5,1.57,4.2,5.25
M'gladbach,Hamburg,H,126,83,47,27,104,126,10,19,1,0,4,1,3,1,1,5,1.65,4.0,4.75
Mainz,Hoffenheim,D,72,76,31,27,89,124,10,14,0,1,2,1,3,3,1,3,2.4,3.4,2.8
FC Koln,Bayern Munich,A,67,100,25,44,81,66,6,7,0,0,1,3,2,3,4,0,7.5,5.0,1.36
Freiburg,Leverkusen,D,89,90,34,26,84,150,7,16,2,2,1,2,3,2,2,3,4.2,3.75,1.8
