HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Hoffenheim,H,64,63,25,23,19,62,6,10,0,0,2,2,1,0,1,2,1.2,7.5,12.0
Fortuna Dusseldorf,Augsburg,A,42,51,18,19,44,70,7,11,0,0,1,1,0,1,3,2,2.37,3.25,3.0
Freiburg,Ein Frankfurt,A,56,33,17,11,43,50,9,7,1,1,1,2,2,0,1,2,2.3,3.3,3.25
Hertha,Nurnberg,H,45,30,25,17,48,37,9,5,0,1,3,0,1,1,0,3,2.04,3.4,3.75
M'gladbach,Leverkusen,H,69,36,28,15,26,46,1,6,0,1,4,1,0,1,0,2,2.8,3.5,2.45
Werder Bremen,Hannover,D,58,51,17,27,47,54,4,12,0,2,2,0,2,2,0,3,1.85,3.6,4.0
Wolfsburg,Schalke 04,H,64,54,29,17,53,49,10,12,0,1,1,1,2,0,2,3,3.1,3.3,2.37
Dortmund,RB Leipzig,H,59,52,27,21,30,57,3,11,0,0,4,1,0,2,0,1,1.72,3.8,4.75
Mainz,Stuttgart,H,64,43,21,20,49,36,3,11,0,0,2,0,2,1,0,3,2.7,3.25,2.7
Hannover,Dortmund,D,39,44,17,15,39,32,3,2,0,1,1,2,1,2,1,0,5.5,4.33,1.57
Augsburg,M'gladbach,D,66,41,23,17,54,43,5,8,0,0,1,1,2,2,1,1,2.62,3.4,2.7
Ein Frankfurt,Werder Bremen,A,49,45,20,16,49,45,3,12,1,1,2,3,1,0,1,1,2.4,3.5,2.9
Hoffenheim,Freiburg,H,70,42,20,17,44,53,6,6,0,0,1,1,1,1,2,2,1.55,4.0,6.5
Leverkusen,Wolfsburg,A,67,34,27,19,50,41,7,7,0,0,1,1,1,1,2,1,1.61,4.33,5.0
Nurnberg,Mainz,D,50,46,19,16,44,55,9,8,0,0,2,0,1,1,1,3,2.37,3.3,3.1
Stuttgart,Bayern Munich,A,45,72,18,43,33,38,3,6,0,1,1,3,1,0,2,1,11.0,5.5,1.28
RB Leipzig,Fortuna Dusseldorf,D,74,56,17,17,45,55,7,10,0,0,3,0,1,2,0,2,1.4,4.75,8.0
Schalke 04,Hertha,A,55,37,16,11,63,46,6,8,1,0,1,1,0,2,3,1,1.75,3.6,5.0
Dortmund,Ein Frankfurt,H,59,33,27,11,30,50,3,7,0,1,4,2,0,0,0,2,1.4,5.0,7.5
Bayern Munich,Leverkusen,H,64,36,25,15,19,46,6,6,0,1,2,1,1,1,1,2,1.2,7.0,13.0
