HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Dortmund,Werder Bremen,H,115,78,49,31,77,119,8,14,0,1,4,1,2,2,1,4,1.3,5.5,9.0
Augsburg,Fortuna Dusseldorf,A,94,55,34,16,97,104,11,12,0,2,1,2,2,2,4,3,2.0,3.5,3.6
Ein Frankfurt,Leverkusen,H,111,81,48,30,129,139,11,17,0,0,5,4,2,1,1,3,2.8,3.4,2.4
Freiburg,Mainz,D,125,79,53,32,116,116,14,17,1,1,3,2,2,2,3,4,2.5,3.3,2.75
Greuther Furth,Bayern Munich,A,64,109,31,38,145,118,17,10,3,0,0,6,2,1,5,0,8.5,4.75,1.36
Hamburg,Nurnberg,A,82,69,29,37,131,129,16,19,0,1,4,2,0,1,3,4,2.05,3.4,3.5
M'gladbach,Hoffenheim,H,74,69,31,18,91,118,15,17,1,1,3,1,2,1,2,5,1.91,3.4,4.0
Stuttgart,Wolfsburg,A,75,71,43,28,119,149,11,10,0,0,2,3,2,1,3,4,2.0,3.5,3.6
Hannover,Schalke 04,D,89,97,42,32,130,87,16,13,1,1,4,2,2,2,2,3,2.88,3.4,2.38
Mainz,Greuther Furth,A,68,66,25,21,110,137,15,16,0,0,4,1,0,3,2,3,1.8,3.5,4.5
Fortuna Dusseldorf,M'gladbach,D,53,69,24,27,110,92,13,12,1,0,1,2,4,3,2,2,2.9,3.3,2.4
Hoffenheim,Ein Frankfurt,A,106,78,34,27,105,96,11,12,3,1,2,2,2,1,3,3,2.05,3.4,3.5
Leverkusen,Freiburg,H,108,73,37,29,74,99,7,9,1,1,4,2,2,2,0,2,1.57,4.0,5.5
Nurnberg,Dortmund,D,73,112,38,42,122,99,13,9,1,0,2,3,3,3,2,1,6.0,4.0,1.55
Schalke 04,Augsburg,H,95,81,40,35,91,122,8,12,0,0,5,0,1,2,1,5,1.36,4.75,8.5
Werder Bremen,Hamburg,H,111,83,49,31,102,134,14,14,2,2,4,2,1,2,2,3,1.73,3.75,4.5
Bayern Munich,Stuttgart,H,136,85,60,24,94,116,8,16,0,2,6,3,0,2,1,2,1.25,6.0,11.0
Wolfsburg,Hannover,A,71,67,35,28,110,100,9,14,1,0,1,2,2,0,3,4,1.95,3.5,3.75
Augsburg,Wolfsburg,D,94,71,34,28,97,149,11,10,0,0,1,3,2,1,4,4,2.7,3.4,2.5
Bayern Munich,Mainz,H,136,79,60,32,94,116,8,17,0,1,6,2,0,2,1,4,1.17,7.0,15.0
Dortmund,Leverkusen,H,115,81,49,30,77,139,8,17,0,0,4,4,2,1,1,3,1.44,4.33,7.0
Greuther Furth,Schalke 04,A,64,97,31,32,145,87,17,13,3,1,0,2,2,2,5,3,3.75,3.5,1.95
Hannover,Werder Bremen,H,89,78,42,31,130,119,16,14,1,1,4,1,2,2,2,4,2.3,3.4,3.0
M'gladbach,Nurnberg,A,74,69,31,37,91,129,15,19,1,1,3,2,2,1,2,4,2.0,3.4,3.75
Stuttgart,Fortuna Dusseldorf,D,75,55,43,16,119,104,11,12,0,2,2,2,2,2,3,3,1.62,3.8,5.5
Ein Frankfurt,Hamburg,H,111,83,48,31,129,134,11,14,0,2,5,2,2,2,1,3,2.0,3.4,3.75
Freiburg,Hoffenheim,H,125,69,53,18,116,118,14,17,1,1,3,1,2,1,3,5,2.4,3.4,2.8
Nurnberg,Ein Frankfurt,A,73,78,38,27,122,96,13,12,1,1,2,2,3,1,2,3,2.1,3.4,3.4
Fortuna Dusseldorf,Freiburg,D,53,73,24,29,110,99,13,9,1,1,1,2,4,2,2,2,2.15,3.4,3.3
Hamburg,Dortmund,H,82,112,29,42,131,99,16,9,0,0,4,3,0,3,3,1,5.25,4.2,1.57
Mainz,Augsburg,H,68,81,25,35,110,122,15,12,0,0,4,0,0,2,2,5,1.73,3.6,4.75
Schalke 04,Bayern Munich,A,95,109,40,38,91,118,8,10,0,0,5,6,1,1,1,0,4.0,3.4,1.91
Wolfsburg,Greuther Furth,D,71,66,35,21,110,137,9,16,1,0,1,1,2,3,3,3,1.8,3.75,4.2
Hoffenheim,Hannover,H,106,67,34,28,105,100,11,14,3,0,2,2,2,0,3,4,2.5,3.4,2.7
Leverkusen,M'gladbach,D,108,69,37,27,74,92,7,12,1,0,4,2,2,3,0,2,1.91,3.6,3.8
Werder Bremen,Stuttgart,D,111,85,49,24,102,116,14,16,2,2,4,3,1,2,2,2,1.91,3.6,3.75
Bayern Munich,Wolfsburg,H,136,71,60,28,94,149,8,10,0,0,6,3,0,1,1,4,1.2,6.5,13.0
Ein Frankfurt,Dortmund,D,111,112,48,42,129,99,11,9,0,0,5,3,2,3,1,1,4.2,3.75,1.8
Greuther Furth,Fortuna Dusseldorf,A,64,55,31,16,145,104,17,12,3,2,0,2,2,2,5,3,2.15,3.25,3.5
Schalke 04,Mainz,H,95,79,40,32,91,116,8,17,0,1,5,2,1,2,1,4,1.57,3.8,6.0
Augsburg,Leverkusen,A,94,81,34,30,97,139,11,17,0,0,1,4,2,1,4,3,3.2,3.3,2.25
Freiburg,Werder Bremen,A,125,78,53,31,116,119,14,14,1,1,3,1,2,2,3,4,2.5,3.4,2.7
Hannover,Nurnberg,H,89,69,42,37,130,129,16,19,1,1,4,2,2,1,2,4,2.1,3.4,3.4
M'gladbach,Hamburg,D,74,83,31,31,91,134,15,14,1,2,3,2,2,2,2,3,1.91,3.5,4.0
Stuttgart,Hoffenheim,A,75,69,43,18,119,118,11,17,0,1,2,1,2,1,3,5,1.83,3.75,4.0
Fortuna Dusseldorf,Schalke 04,D,53,97,24,32,110,87,13,13,1,1,1,2,4,2,2,3,4.33,3.5,1.83
Dortmund,M'gladbach,H,115,69,49,27,77,92,8,12,0,0,4,2,2,3,1,2,1.36,4.5,9.0
Hamburg,Hannover,H,82,67,29,28,131,100,16,14,0,0,4,2,0,0,3,4,2.3,3.4,3.0
Hoffenheim,Augsburg,D,106,81,34,35,105,122,11,12,3,0,2,0,2,2,3,5,1.75,3.75,4.5
Leverkusen,Greuther Furth,H,108,66,37,21,74,137,7,16,1,0,4,1,2,3,0,3,1.44,4.33,7.0
Nurnberg,Stuttgart,A,73,85,38,24,122,116,13,16,1,2,2,3,3,2,2,2,2.3,3.4,3.0
Werder Bremen,Bayern Munich,A,111,109,49,38,102,118,14,10,2,0,4,6,1,1,2,0,6.0,4.0,1.53
Ein Frankfurt,Freiburg,H,111,73,48,29,129,99,11,9,0,1,5,2,2,2,1,2,1.75,3.75,4.5
Wolfsburg,Mainz,A,71,79,35,32,110,116,9,17,1,1,1,2,2,2,3,4,2.1,3.4,3.4
Augsburg,Werder Bremen,H,94,78,34,31,97,119,11,14,0,1,1,1,2,2,4,4,2.9,3.5,2.3
Bayern Munich,Hoffenheim,H,136,69,60,18,94,118,8,17,0,1,6,1,0,1,1,5,1.14,7.5,17.0
Freiburg,Nurnberg,H,125,69,53,37,116,129,14,19,1,1,3,2,2,1,3,4,2.1,3.5,3.3
Greuther Furth,Hamburg,A,64,83,31,31,145,134,17,14,3,2,0,2,2,2,5,3,2.7,3.4,2.5
Mainz,Fortuna Dusseldorf,H,68,55,25,16,110,104,15,12,0,2,4,2,0,2,2,3,1.83,3.5,4.33
Schalke 04,Wolfsburg,H,95,71,40,28,91,149,8,10,0,0,5,3,1,1,1,4,1.4,4.5,8.0
Hannover,Dortmund,D,89,112,42,42,130,99,16,9,1,0,4,3,2,3,2,1,5.0,3.75,1.67
M'gladbach,Ein Frankfurt,H,74,78,31,27,91,96,15,12,1,1,3,2,2,1,2,3,2.25,3.5,3.0
Stuttgart,Leverkusen,D,75,81,43,30,119,139,11,17,0,0,2,4,2,1,3,3,2.4,3.5,2.75
Hoffenheim,Greuther Furth,D,106,66,34,21,105,137,11,16,3,0,2,1,2,3,3,3,1.83,3.6,4.2
Dortmund,Schalke 04,A,115,97,49,32,77,87,8,13,0,1,4,2,2,2,1,3,1.62,4.0,5.0
Ein Frankfurt,Hannover,H,111,67,48,28,129,100,11,14,0,0,5,2,2,0,1,4,2.1,3.5,3.3
Fortuna Dusseldorf,Bayern Munich,A,53,109,24,38,110,118,13,10,1,0,1,6,4,1,2,0,11.0,5.0,1.29
Leverkusen,Mainz,D,108,79,37,32,74,116,7,17,1,1,4,2,2,2,0,4,1.67,3.8,5.0
Werder Bremen,M'gladbach,H,111,69,49,27,102,92,14,12,2,0,4,2,1,3,2,2,2.1,3.4,3.4
Wolfsburg,Freiburg,A,71,73,35,29,110,99,9,9,1,1,1,2,2,2,3,2,2.25,3.4,3.1
Hamburg,Stuttgart,A,82,85,29,24,131,116,16,16,0,2,4,3,0,2,3,2,2.25,3.4,3.1
Nurnberg,Augsburg,D,73,81,38,35,122,122,13,12,1,0,2,0,3,2,2,5,2.0,3.5,3.6
Augsburg,Hamburg,A,94,83,34,31,97,134,11,14,0,2,1,2,2,2,4,3,2.38,3.4,2.88
Fortuna Dusseldorf,Wolfsburg,A,53,71,24,28,110,149,13,10,1,0,1,3,4,1,2,4,2.3,3.3,3.1
Freiburg,Dortmund,A,125,112,53,42,116,99,14,9,1,0,3,3,2,3,3,1,5.5,3.75,1.62
Greuther Furth,Werder Bremen,D,64,78,31,31,145,119,17,14,3,1,0,1,2,2,5,4,2.6,3.4,2.6
Mainz,Hoffenheim,H,68,69,25,18,110,118,15,17,0,1,4,1,0,1,2,5,2.0,3.5,3.6
Schalke 04,Nurnberg,H,95,69,40,37,91,129,8,19,0,1,5,2,1,1,1,4,1.3,5.5,9.0
Bayern Munich,Leverkusen,A,136,81,60,30,94,139,8,17,0,0,6,4,0,1,1,3,1.22,6.0,13.0
Hannover,M'gladbach,A,89,69,42,27,130,92,16,12,1,0,4,2,2,3,2,2,1.91,3.6,3.8
Stuttgart,Ein Frankfurt,H,75,78,43,27,119,96,11,12,0,1,2,2,2,1,3,3,2.1,3.5,3.3
Ein Frankfurt,Greuther Furth,D,111,66,48,21,129,137,11,16,0,0,5,1,2,3,1,3,1.6,4.0,5.25
Dortmund,Stuttgart,D,115,85,49,24,77,116,8,16,0,2,4,3,2,2,1,2,1.33,5.0,9.0
Hamburg,Bayern Munich,A,82,109,29,38,131,118,16,10,0,0,4,6,0,1,3,0,7.5,5.0,1.36
Hannover,Augsburg,H,89,81,42,35,130,122,16,12,1,0,4,0,2,2,2,5,1.7,3.75,4.75
Hoffenheim,Schalke 04,H,106,97,34,32,105,87,11,13,3,1,2,2,2,2,3,3,4.33,3.6,1.8
M'gladbach,Freiburg,D,74,73,31,29,91,99,15,9,1,1,3,2,2,2,2,2,2.25,3.25,3.2
Nurnberg,Wolfsburg,H,73,71,38,28,122,149,13,10,1,0,2,3,3,1,2,4,2.5,3.4,2.7
Leverkusen,Fortuna Dusseldorf,H,108,55,37,16,74,104,7,12,1,2,4,2,2,2,0,3,1.44,4.33,7.0
Werder Bremen,Mainz,H,111,79,49,32,102,116,14,17,2,1,4,2,1,2,2,4,2.0,3.5,3.6
Mainz,Nurnberg,H,68,69,25,37,110,129,15,19,0,1,4,2,0,1,2,4,1.8,3.5,4.5
Augsburg,Dortmund,A,94,112,34,42,97,99,11,9,0,0,1,3,2,3,4,1,6.5,4.1,1.5
Bayern Munich,Ein Frankfurt,H,136,78,60,27,94,96,8,12,0,1,6,2,0,1,1,3,1.17,7.0,16.0
Fortuna Dusseldorf,Hoffenheim,D,53,69,24,18,110,118,13,17,1,1,1,1,4,1,2,5,2.75,3.3,2.5
Freiburg,Hamburg,D,125,83,53,31,116,134,14,14,1,2,3,2,2,2,3,3,2.0,3.5,3.6
Schalke 04,Werder Bremen,H,95,78,40,31,91,119,8,14,0,1,5,1,1,2,1,4,1.44,4.5,7.0
Greuther Furth,M'gladbach,A,64,69,31,27,145,92,17,12,3,0,0,2,2,3,5,2,2.6,3.25,2.7
Stuttgart,Hannover,A,75,67,43,28,119,100,11,14,0,0,2,2,2,0,3,4,2.0,3.5,3.6
Wolfsburg,Leverkusen,H,71,81,35,30,110,139,9,17,1,0,1,4,2,1,3,3,3.1,3.5,2.2
Dortmund,Greuther Furth,H,115,66,49,21,77,137,8,16,0,0,4,1,2,3,1,3,1.17,7.0,15.0
Ein Frankfurt,Augsburg,H,111,81,48,35,129,122,11,12,0,0,5,0,2,2,1,5,1.73,3.75,4.5
Hamburg,Mainz,H,82,79,29,32,131,116,16,17,0,1,4,2,0,2,3,4,2.4,3.4,2.8
