HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Hoffenheim,A,142,78,61,31,74,81,15,14,0,0,4,3,1,2,2,2,1.11,9.0,26.0
Freiburg,Dortmund,D,93,67,35,36,65,57,6,11,1,1,4,2,2,3,1,2,5.75,4.2,1.57
Leverkusen,RB Leipzig,D,154,106,82,33,81,83,12,12,1,1,3,5,4,1,1,1,2.25,3.5,3.1
Paderborn,Mainz,A,84,98,45,31,98,111,16,21,0,2,1,2,0,0,6,6,2.5,3.5,2.8
Schalke 04,FC Koln,D,94,89,36,42,75,131,12,20,0,1,3,1,3,1,1,6,1.57,4.33,5.5
M'gladbach,Augsburg,H,121,76,41,31,102,81,21,13,1,2,6,1,1,3,1,3,1.5,4.33,6.5
Wolfsburg,Union Berlin,H,96,68,42,17,84,87,8,13,0,2,2,1,3,1,2,4,1.66,4.0,5.0
Ein Frankfurt,Werder Bremen,D,142,92,64,25,106,81,17,19,0,2,4,2,3,3,1,2,2.1,3.6,3.4
Ein Frankfurt,Leverkusen,H,142,83,64,14,106,67,17,11,0,1,4,4,3,0,1,2,2.75,3.9,2.3
Augsburg,Bayern Munich,D,82,108,21,33,83,56,17,14,0,2,3,3,2,2,2,2,15.0,8.0,1.16
Fortuna Dusseldorf,Mainz,H,81,98,28,31,58,111,9,21,0,2,2,2,1,0,3,6,2.55,3.4,2.62
RB Leipzig,Wolfsburg,D,119,73,42,27,77,109,11,18,0,1,4,3,2,2,1,2,1.53,4.5,5.75
Union Berlin,Freiburg,H,108,79,30,20,129,72,11,14,1,1,5,3,0,2,3,2,2.5,3.5,2.7
Werder Bremen,Hertha,D,112,74,48,23,75,103,9,14,0,1,1,1,2,3,4,4,2.1,3.75,3.2
Dortmund,M'gladbach,H,131,77,55,31,66,72,6,10,0,0,5,4,2,0,0,2,1.44,5.0,6.5
FC Koln,Paderborn,H,75,81,34,38,86,75,17,13,2,0,1,1,1,2,4,4,1.65,4.5,4.33
Hoffenheim,Schalke 04,H,104,76,40,29,73,83,9,15,0,0,3,4,1,1,3,2,2.75,3.4,2.55
Mainz,FC Koln,H,104,89,35,42,85,131,10,20,0,1,3,1,0,1,3,6,2.5,3.6,2.62
Bayern Munich,Union Berlin,H,142,68,61,17,74,87,15,13,0,2,4,1,1,1,2,4,1.09,12.0,19.0
Freiburg,RB Leipzig,H,93,106,35,33,65,83,6,12,1,1,4,5,2,1,1,1,4.0,3.8,1.85
Hertha,Hoffenheim,A,63,78,18,31,87,81,16,14,1,0,2,3,0,2,4,2,2.05,3.6,3.6
Paderborn,Fortuna Dusseldorf,H,84,93,45,28,98,115,16,27,0,0,1,1,0,2,6,5,2.37,3.75,2.7
Schalke 04,Dortmund,D,94,67,36,36,75,57,12,11,0,1,3,2,3,3,1,2,3.1,3.6,2.2
Leverkusen,Werder Bremen,D,154,92,82,25,81,81,12,19,1,2,3,2,4,3,1,2,1.57,4.33,5.5
Wolfsburg,Augsburg,D,96,76,42,31,84,81,8,13,0,2,2,1,3,3,2,3,1.57,4.33,5.5
M'gladbach,Ein Frankfurt,H,121,94,41,39,102,67,21,11,1,3,6,1,1,0,1,5,1.83,4.0,3.75
Hoffenheim,Paderborn,H,104,81,40,38,73,75,9,13,0,0,3,1,1,2,3,4,1.4,4.75,7.0
Dortmund,Wolfsburg,H,131,73,55,27,66,109,6,18,0,1,5,3,2,2,0,2,1.5,4.5,6.5
Ein Frankfurt,Bayern Munich,H,142,108,64,33,106,56,17,14,0,2,4,3,3,2,1,2,6.5,5.25,1.4
Leverkusen,M'gladbach,A,154,77,82,31,81,72,12,10,1,0,3,4,4,0,1,2,1.95,3.9,3.5
RB Leipzig,Mainz,H,119,98,42,31,77,111,11,21,0,2,4,2,2,0,1,6,1.33,5.25,8.0
Werder Bremen,Freiburg,D,112,79,48,20,75,72,9,14,0,1,1,3,2,2,4,2,1.85,3.8,3.8
Union Berlin,Hertha,H,108,74,30,23,129,103,11,14,1,1,5,1,0,3,3,4,2.87,3.3,2.5
Fortuna Dusseldorf,FC Koln,H,81,89,28,42,58,131,9,20,0,1,2,1,1,1,3,6,2.8,3.4,2.5
Augsburg,Schalke 04,A,82,76,21,29,83,83,17,15,0,0,3,4,2,1,2,2,4.0,3.6,1.85
FC Koln,Hoffenheim,A,75,78,34,31,86,81,17,14,2,0,1,3,1,2,4,2,2.5,3.6,2.7
Hertha,RB Leipzig,A,63,106,18,33,87,83,16,12,1,1,2,5,0,1,4,1,4.2,4.0,1.8
Mainz,Union Berlin,A,104,68,35,17,85,87,10,13,0,2,3,1,0,1,3,4,2.15,3.4,3.5
Paderborn,Augsburg,A,84,76,45,31,98,81,16,13,0,2,1,1,0,3,6,3,2.62,3.75,2.5
Schalke 04,Fortuna Dusseldorf,D,94,93,36,28,75,115,12,27,0,0,3,1,3,2,1,5,1.5,4.2,7.0
Bayern Munich,Dortmund,H,142,67,61,36,74,57,15,11,0,1,4,2,1,3,2,2,1.53,4.75,5.5
M'gladbach,Werder Bremen,H,121,92,41,25,102,81,21,19,1,2,6,2,1,3,1,2,1.72,4.1,4.33
Wolfsburg,Leverkusen,A,96,83,42,14,84,67,8,11,0,1,2,4,3,0,2,2,2.87,3.6,2.37
Freiburg,Ein Frankfurt,H,93,94,35,39,65,67,6,11,1,3,4,1,2,0,1,5,2.7,3.6,2.5
Dortmund,Paderborn,D,131,81,55,38,66,75,6,13,0,0,5,1,2,2,0,4,1.14,9.0,15.0
Ein Frankfurt,Wolfsburg,A,142,73,64,27,106,109,17,18,0,1,4,3,3,2,1,2,2.0,3.6,3.6
Fortuna Dusseldorf,Bayern Munich,A,81,108,28,33,58,56,9,14,0,2,2,3,1,2,3,2,13.0,8.0,1.18
Leverkusen,Freiburg,D,154,79,82,20,81,72,12,14,1,1,3,3,4,2,1,2,1.45,4.75,6.5
Union Berlin,M'gladbach,H,108,77,30,31,129,72,11,10,1,0,5,4,0,0,3,2,3.6,3.6,2.05
Werder Bremen,Schalke 04,A,112,76,48,29,75,83,9,15,0,0,1,4,2,1,4,2,2.45,3.5,2.8
RB Leipzig,FC Koln,H,119,89,42,42,77,131,11,20,0,1,4,1,2,1,1,6,1.33,5.75,7.5
Augsburg,Hertha,H,82,74,21,23,83,103,17,14,0,1,3,1,2,3,2,4,2.62,3.5,2.62
Hoffenheim,Mainz,A,104,98,40,31,73,111,9,21,0,2,3,2,1,0,3,6,1.65,4.33,4.75
Schalke 04,Union Berlin,H,94,68,36,17,75,87,12,13,0,2,3,1,3,1,1,4,1.66,4.0,4.75
FC Koln,Augsburg,D,75,76,34,31,86,81,17,13,2,2,1,1,1,3,4,3,1.95,4.0,3.5
Hertha,Dortmund,A,63,67,18,36,87,57,16,11,1,1,2,2,0,3,4,2,4.0,4.0,1.8
Hoffenheim,Fortuna Dusseldorf,D,104,93,40,28,73,115,9,27,0,0,3,1,1,2,3,5,1.7,3.8,5.0
Paderborn,RB Leipzig,A,84,106,45,33,98,83,16,12,0,1,1,5,0,1,6,1,6.5,5.5,1.36
Bayern Munich,Leverkusen,A,142,83,61,14,74,67,15,11,0,1,4,4,1,0,2,2,1.28,6.0,8.5
M'gladbach,Freiburg,H,121,79,41,20,102,72,21,14,1,1,6,3,1,2,1,2,1.53,4.2,6.0
Wolfsburg,Werder Bremen,A,96,92,42,25,84,81,8,19,0,2,2,2,3,3,2,2,2.15,3.75,3.0
Mainz,Ein Frankfurt,H,104,94,35,39,85,67,10,11,0,3,3,1,0,0,3,5,2.8,3.75,2.37
Ein Frankfurt,Hertha,D,142,74,64,23,106,103,17,14,0,1,4,1,3,3,1,4,1.8,3.9,4.2
Augsburg,Mainz,H,82,98,21,31,83,111,17,21,0,2,3,2,2,0,2,6,2.2,3.6,3.1
Dortmund,Fortuna Dusseldorf,H,131,93,55,28,66,115,6,27,0,0,5,1,2,2,0,5,1.33,5.5,8.5
Freiburg,Wolfsburg,H,93,73,35,27,65,109,6,18,1,1,4,3,2,2,1,2,2.9,3.5,2.4
M'gladbach,Bayern Munich,H,121,108,41,33,102,56,21,14,1,2,6,3,1,2,1,2,5.25,4.5,1.57
RB Leipzig,Hoffenheim,H,119,78,42,31,77,81,11,14,0,0,4,3,2,2,1,2,1.44,4.75,6.5
Leverkusen,Schalke 04,H,154,76,82,29,81,83,12,15,1,0,3,4,4,1,1,2,1.95,3.75,3.75
Union Berlin,FC Koln,H,108,89,30,42,129,131,11,20,1,1,5,1,0,1,3,6,2.15,3.5,3.3
Werder Bremen,Paderborn,A,112,81,48,38,75,75,9,13,0,0,1,1,2,2,4,4,1.53,4.5,5.75
