HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,M'gladbach,H,153,85,64,25,94,81,13,14,0,1,8,2,0,1,0,4,1.13,8.5,19.0
Augsburg,Dortmund,A,108,112,41,39,110,99,14,11,0,1,4,4,1,1,2,2,7.0,4.33,1.44
Braunschweig,Werder Bremen,A,107,82,29,36,90,127,11,17,0,0,1,2,1,2,5,4,2.7,3.4,2.5
Hannover,Wolfsburg,H,122,95,56,20,172,113,20,10,3,4,5,2,2,1,1,4,2.6,3.4,2.6
Hertha,Ein Frankfurt,H,104,108,51,55,142,130,10,14,0,2,4,2,1,2,3,4,2.2,3.4,3.2
Hoffenheim,Nurnberg,D,112,95,32,30,153,113,14,18,1,0,1,0,4,5,3,3,2.1,3.3,3.5
Leverkusen,Freiburg,H,136,68,42,27,102,128,10,14,0,5,7,2,1,2,0,4,1.44,4.5,6.5
Mainz,Stuttgart,H,107,78,28,28,139,108,16,12,1,2,4,3,1,1,3,4,2.4,3.4,2.8
Schalke 04,Hamburg,D,95,107,25,41,87,122,10,17,0,0,4,2,1,3,2,3,1.44,4.33,7.0
Ein Frankfurt,Bayern Munich,A,75,100,42,37,95,70,13,6,0,0,0,4,3,2,3,0,10.0,5.25,1.29
Freiburg,Mainz,A,66,74,32,29,89,94,11,13,0,1,0,2,3,0,3,4,2.25,3.4,3.1
Hamburg,Hoffenheim,A,109,69,37,21,95,113,9,15,0,0,2,2,1,1,3,3,2.0,3.6,3.5
M'gladbach,Hannover,H,93,76,16,27,65,111,12,16,0,1,7,0,0,0,0,6,1.83,3.5,4.33
Stuttgart,Leverkusen,A,83,69,33,28,79,97,11,13,0,1,1,4,3,0,2,2,3.5,3.25,2.1
Werder Bremen,Augsburg,H,86,85,29,37,105,102,12,17,1,1,2,1,2,1,2,5,1.91,3.5,4.0
Wolfsburg,Schalke 04,H,119,74,38,30,111,141,11,9,0,2,5,3,1,2,1,2,2.88,3.3,2.4
Dortmund,Braunschweig,H,157,66,46,21,79,121,4,14,0,1,6,1,0,1,1,5,1.17,7.5,13.0
Nurnberg,Hertha,D,66,59,26,26,78,98,12,17,1,0,0,1,3,3,3,2,2.3,3.4,3.0
Dortmund,Werder Bremen,H,157,82,46,36,79,127,4,17,0,0,6,2,0,2,1,4,1.2,6.5,13.0
Bayern Munich,Nurnberg,H,153,95,64,30,94,113,13,18,0,0,8,0,0,5,0,3,1.1,9.0,26.0
Hannover,Schalke 04,H,122,74,56,30,172,141,20,9,3,2,5,3,2,2,1,2,2.63,3.4,2.6
Hertha,Hamburg,H,104,107,51,41,142,122,10,17,0,0,4,2,1,3,3,3,1.91,3.6,3.8
Hoffenheim,Freiburg,D,112,68,32,27,153,128,14,14,1,5,1,2,4,2,3,4,1.75,3.75,4.5
Leverkusen,M'gladbach,H,136,85,42,25,102,81,10,14,0,1,7,2,1,1,0,4,1.67,3.8,5.0
Mainz,Wolfsburg,H,107,95,28,20,139,113,16,10,1,4,4,2,1,1,3,4,2.63,3.4,2.6
Augsburg,Stuttgart,H,108,78,41,28,110,108,14,12,0,2,4,3,1,1,2,4,2.3,3.4,3.0
Braunschweig,Ein Frankfurt,A,107,108,29,55,90,130,11,14,0,2,1,2,1,2,5,4,2.7,3.4,2.5
Freiburg,Bayern Munich,D,66,100,32,37,89,70,11,6,0,0,0,4,3,2,3,0,13.0,5.5,1.25
Hamburg,Braunschweig,H,109,66,37,21,95,121,9,14,0,1,2,1,1,1,3,5,1.75,3.75,4.5
Hannover,Mainz,H,122,74,56,29,172,94,20,13,3,1,5,2,2,0,1,4,2.4,3.5,2.75
M'gladbach,Werder Bremen,H,93,82,16,36,65,127,12,17,0,0,7,2,0,2,0,4,1.75,3.75,4.5
Nurnberg,Augsburg,A,66,85,26,37,78,102,12,17,1,1,0,1,3,1,3,5,2.5,3.3,2.8
Schalke 04,Leverkusen,H,95,69,25,28,87,97,10,13,0,1,4,4,1,0,2,2,3.2,3.5,2.15
Wolfsburg,Hertha,H,119,59,38,26,111,98,11,17,0,0,5,1,1,3,1,2,1.91,3.6,3.75
Ein Frankfurt,Dortmund,A,75,112,42,39,95,99,13,11,0,1,0,4,3,1,3,2,6.0,4.33,1.5
Stuttgart,Hoffenheim,H,83,69,33,21,79,113,11,15,0,0,1,2,3,1,2,3,2.3,3.5,2.9
Hertha,Stuttgart,A,104,78,51,28,142,108,10,12,0,2,4,3,1,1,3,4,2.15,3.4,3.3
Augsburg,Freiburg,H,108,68,41,27,110,128,14,14,0,5,4,2,1,2,2,4,2.0,3.4,3.75
Bayern Munich,Hannover,H,153,76,64,27,94,111,13,16,0,1,8,0,0,0,0,6,1.13,8.5,21.0
Dortmund,Hamburg,H,157,107,46,41,79,122,4,17,0,0,6,2,0,3,1,3,1.25,6.0,11.0
Leverkusen,Wolfsburg,H,136,95,42,20,102,113,10,10,0,4,7,2,1,1,0,4,1.8,3.75,4.2
Mainz,Schalke 04,A,107,74,28,30,139,141,16,9,1,2,4,3,1,2,3,2,2.6,3.4,2.6
Werder Bremen,Ein Frankfurt,A,86,108,29,55,105,130,12,14,1,2,2,2,2,2,2,4,2.45,3.3,2.8
Braunschweig,Nurnberg,D,107,95,29,30,90,113,11,18,0,0,1,0,1,5,5,3,2.7,3.25,2.6
Hoffenheim,M'gladbach,H,112,85,32,25,153,81,14,14,1,1,1,2,4,1,3,4,2.6,3.4,2.6
