HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
M'gladbach,Bayern Munich,D,87,91,29,25,55,46,11,2,0,1,3,4,2,1,0,0,4.33,4.5,1.66
Augsburg,Hoffenheim,A,62,62,28,24,56,54,8,11,0,0,2,1,1,1,2,3,3.2,3.75,2.1
Bielefeld,Freiburg,D,71,55,28,28,84,70,12,6,0,0,0,3,3,2,3,0,2.8,3.4,2.5
Stuttgart,Greuther Furth,H,85,49,29,17,62,78,7,8,1,0,2,0,1,0,2,6,1.83,4.0,4.0
Union Berlin,Leverkusen,D,67,64,25,26,63,48,8,9,0,1,3,3,2,2,1,0,2.75,3.4,2.55
Wolfsburg,Bochum,H,71,51,30,16,70,84,16,10,1,1,2,1,1,0,2,5,1.53,4.5,5.75
Dortmund,Ein Frankfurt,H,83,49,31,19,50,68,9,12,0,0,6,1,0,2,0,2,1.4,5.5,6.5
Mainz,RB Leipzig,H,64,73,24,38,73,58,8,10,1,0,3,0,1,3,1,2,8.0,5.5,1.33
FC Koln,Hertha,H,85,46,27,19,67,80,11,11,0,1,3,2,2,0,0,4,2.55,3.4,2.75
RB Leipzig,Stuttgart,H,82,45,15,16,52,68,4,19,0,1,4,0,0,3,1,2,1.36,5.25,7.0
Bochum,Mainz,H,61,62,20,23,48,68,6,14,0,0,2,2,1,0,1,3,2.62,3.5,2.62
Ein Frankfurt,Augsburg,D,73,36,31,13,60,62,8,12,0,0,0,0,4,2,1,3,1.57,4.5,5.25
Freiburg,Dortmund,H,64,56,23,16,59,49,2,11,0,1,3,2,2,0,0,2,5.5,4.75,1.5
Greuther Furth,Bielefeld,D,50,46,18,13,63,53,12,4,0,1,0,0,1,2,3,2,2.55,3.4,2.7
Hertha,Wolfsburg,A,49,61,19,16,52,76,7,10,0,1,2,3,0,0,2,2,3.0,3.4,2.37
