HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Werder Bremen,H,150,67,61,30,70,98,4,17,0,1,6,1,2,2,0,4,1.1,10.0,23.0
Augsburg,Wolfsburg,A,85,82,26,36,90,105,14,11,0,1,1,2,3,2,3,3,2.8,3.25,2.6
Dortmund,Mainz,H,113,86,52,39,70,123,11,13,1,3,5,2,2,1,0,5,1.36,5.0,8.5
Ein Frankfurt,Schalke 04,H,87,84,33,35,132,119,22,18,3,0,4,1,3,2,0,4,3.4,3.3,2.2
FC Koln,Darmstadt,H,98,64,27,35,115,96,15,16,1,2,4,0,3,0,0,7,1.8,3.5,4.75
Hamburg,Ingolstadt,D,74,78,28,31,113,109,14,17,2,1,1,1,2,1,4,5,2.2,3.2,3.5
M'gladbach,Leverkusen,H,110,92,44,19,101,102,11,13,0,0,4,3,3,0,1,4,2.3,3.4,3.1
Hertha,Freiburg,H,89,94,34,28,84,116,8,17,1,0,6,1,0,1,1,5,2.15,3.3,3.5
Hoffenheim,RB Leipzig,D,111,111,33,46,94,124,9,20,0,0,4,5,3,2,0,1,2.5,3.25,2.9
Schalke 04,Bayern Munich,A,108,98,28,42,88,68,11,15,1,0,4,4,0,1,3,1,10.0,5.5,1.3
Darmstadt,Ein Frankfurt,H,70,82,20,28,115,100,11,16,0,0,2,3,2,2,3,2,3.0,3.3,2.4
Freiburg,M'gladbach,H,92,37,35,16,84,74,16,8,1,1,5,0,0,1,2,5,3.6,3.6,2.0
Ingolstadt,Hertha,A,93,57,32,12,120,109,9,15,2,1,1,2,2,3,4,2,2.4,3.1,3.2
Leverkusen,Hamburg,H,83,78,32,21,87,139,8,18,1,2,3,1,2,2,2,4,1.45,4.5,7.0
RB Leipzig,Dortmund,H,87,85,33,41,93,88,8,10,0,0,5,2,1,2,0,3,5.25,4.2,1.62
Wolfsburg,FC Koln,D,82,67,32,28,112,94,12,16,1,0,0,2,2,2,5,3,1.85,3.75,4.2
Mainz,Hoffenheim,D,71,93,30,28,97,132,15,14,1,0,3,2,1,5,2,0,2.0,3.5,3.75
Werder Bremen,Augsburg,A,92,80,19,27,122,111,9,15,0,1,3,2,0,2,4,3,2.3,3.4,3.1
FC Koln,Freiburg,H,98,94,27,28,115,116,15,17,1,0,4,1,3,1,0,5,1.8,3.6,4.5
Bayern Munich,Ingolstadt,H,150,78,61,31,70,109,4,17,0,1,6,1,2,1,0,5,1.07,12.0,34.0
Dortmund,Darmstadt,H,113,64,52,35,70,96,11,16,1,2,5,0,2,0,0,7,1.13,9.0,21.0
Ein Frankfurt,Leverkusen,H,87,92,33,19,132,102,22,13,3,0,4,3,3,0,0,4,4.0,3.5,1.95
Hamburg,RB Leipzig,A,74,111,28,46,113,124,14,20,2,0,1,5,2,2,4,1,2.75,3.25,2.63
Hoffenheim,Wolfsburg,D,111,82,33,36,94,105,9,11,0,1,4,2,3,2,0,3,3.1,3.6,2.25
M'gladbach,Werder Bremen,H,110,67,44,30,101,98,11,17,0,1,4,1,3,2,1,4,1.44,4.5,7.5
Augsburg,Mainz,A,85,86,26,39,90,123,14,13,0,3,1,2,3,1,3,5,2.38,3.4,3.0
Hertha,Schalke 04,H,89,84,34,35,84,119,8,18,1,0,6,1,0,2,1,4,2.5,3.4,2.8
Darmstadt,Hoffenheim,D,70,93,20,28,115,132,11,14,0,0,2,2,2,5,3,0,3.5,3.5,2.1
Freiburg,Hamburg,H,92,78,35,21,84,139,16,18,1,2,5,1,0,2,2,4,2.3,3.4,3.1
Ingolstadt,Ein Frankfurt,A,93,82,32,28,120,100,9,16,2,0,1,3,2,2,4,2,2.25,3.25,3.4
Wolfsburg,Dortmund,A,82,85,32,41,112,88,12,10,1,0,0,2,2,2,5,3,4.75,3.75,1.75
Bayern Munich,Hertha,H,150,57,61,12,70,109,4,15,0,1,6,2,2,3,0,2,1.14,9.0,17.0
Leverkusen,Augsburg,D,83,80,32,27,87,111,8,15,1,1,3,2,2,2,2,3,1.45,4.5,7.0
RB Leipzig,M'gladbach,D,87,37,33,16,93,74,8,8,0,1,5,0,1,1,0,5,2.38,3.5,3.0
Schalke 04,FC Koln,A,108,67,28,28,88,94,11,16,1,0,4,2,0,2,3,3,2.1,3.4,3.6
Werder Bremen,Mainz,A,92,86,19,39,122,123,9,13,0,3,3,2,0,1,4,5,3.0,3.5,2.3
Dortmund,Freiburg,H,113,94,52,28,70,116,11,17,1,0,5,1,2,1,0,5,1.18,7.5,15.0
Augsburg,Darmstadt,H,85,64,26,35,90,96,14,16,0,2,1,0,3,0,3,7,1.67,3.75,5.5
Ein Frankfurt,Hertha,D,87,57,33,12,132,109,22,15,3,1,4,2,3,3,0,2,2.25,3.2,3.4
Hamburg,Bayern Munich,A,74,98,28,42,113,68,14,15,2,0,1,4,2,1,4,1,13.0,7.0,1.2
Mainz,Leverkusen,A,71,92,30,19,97,102,15,13,1,0,3,3,1,0,2,4,3.0,3.3,2.4
M'gladbach,Ingolstadt,H,110,78,44,31,101,109,11,17,0,1,4,1,3,1,1,5,1.8,3.6,4.75
Werder Bremen,Wolfsburg,H,92,82,19,36,122,105,9,11,0,1,3,2,0,2,4,3,3.9,3.75,1.91
FC Koln,RB Leipzig,D,98,111,27,46,115,124,15,20,1,0,4,5,3,2,0,1,2.3,3.3,3.2
Hoffenheim,Schalke 04,H,111,84,33,35,94,119,9,18,0,0,4,1,3,2,0,4,2.7,3.4,2.6
RB Leipzig,Augsburg,H,87,80,33,27,93,111,8,15,0,1,5,2,1,2,0,3,1.65,3.75,5.75
Bayern Munich,FC Koln,D,150,67,61,28,70,94,4,16,0,0,6,2,2,2,0,3,1.17,7.0,19.0
Darmstadt,Werder Bremen,D,70,67,20,30,115,98,11,17,0,1,2,1,2,2,3,4,3.1,3.4,2.3
Freiburg,Ein Frankfurt,H,92,82,35,28,84,100,16,16,1,0,5,3,0,2,2,2,2.3,3.3,3.2
Hertha,Hamburg,H,89,78,34,21,84,139,8,18,1,2,6,1,0,2,1,4,2.0,3.25,4.2
Ingolstadt,Hoffenheim,A,93,93,32,28,120,132,9,14,2,0,1,2,2,5,4,0,2.05,3.4,3.75
Leverkusen,Dortmund,H,83,85,32,41,87,88,8,10,1,0,3,2,2,2,2,3,3.8,3.6,1.95
Schalke 04,M'gladbach,H,108,37,28,16,88,74,11,8,1,1,4,0,0,1,3,5,2.2,3.4,3.3
Wolfsburg,Mainz,D,82,86,32,39,112,123,12,13,1,3,0,2,2,1,5,5,1.85,3.6,4.33
Dortmund,Hertha,D,113,57,52,12,70,109,11,15,1,1,5,2,2,3,0,2,1.33,5.25,9.0
Augsburg,Schalke 04,D,85,84,26,35,90,119,14,18,0,0,1,1,3,2,3,4,3.1,3.4,2.3
Ein Frankfurt,Bayern Munich,D,87,98,33,42,132,68,22,15,3,0,4,4,3,1,0,1,13.0,6.0,1.25
FC Koln,Ingolstadt,H,98,78,27,31,115,109,15,17,1,1,4,1,3,1,0,5,1.8,3.5,4.75
Hoffenheim,Freiburg,H,111,94,33,28,94,116,9,17,0,0,4,1,3,1,0,5,2.05,3.6,3.5
M'gladbach,Hamburg,D,110,78,44,21,101,139,11,18,0,2,4,1,3,2,1,4,1.67,3.8,5.25
Werder Bremen,Leverkusen,H,92,92,19,19,122,102,9,13,0,0,3,3,0,0,4,4,4.75,4.2,1.67
Mainz,Darmstadt,H,71,64,30,35,97,96,15,16,1,2,3,0,1,0,2,7,1.5,4.0,7.5
Wolfsburg,RB Leipzig,A,82,111,32,46,112,124,12,20,1,0,0,5,2,2,5,1,2.4,3.3,3.0
Hamburg,Ein Frankfurt,A,74,82,28,28,113,100,14,16,2,0,1,3,2,2,4,2,2.45,3.25,3.0
Bayern Munich,M'gladbach,H,150,37,61,16,70,74,4,8,0,1,6,0,2,1,0,5,1.2,7.5,12.0
Darmstadt,Wolfsburg,H,70,82,20,36,115,105,11,11,0,1,2,2,2,2,3,3,4.5,3.6,1.8
Freiburg,Augsburg,H,92,80,35,27,84,111,16,15,1,1,5,2,0,2,2,3,2.1,3.3,3.7
Hertha,FC Koln,H,89,67,34,28,84,94,8,16,1,0,6,2,0,2,1,3,2.5,3.2,3.0
Ingolstadt,Dortmund,D,93,85,32,41,120,88,9,10,2,0,1,2,2,2,4,3,6.0,4.2,1.53
Leverkusen,Hoffenheim,A,83,93,32,28,87,132,8,14,1,0,3,2,2,5,2,0,1.5,4.33,6.0
RB Leipzig,Werder Bremen,H,87,67,33,30,93,98,8,17,0,1,5,1,1,2,0,4,1.5,4.0,7.0
Schalke 04,Mainz,H,108,86,28,39,88,123,11,13,1,3,4,2,0,1,3,5,1.95,3.6,3.8
M'gladbach,Ein Frankfurt,D,110,82,44,28,101,100,11,16,0,0,4,3,3,2,1,2,1.85,3.5,4.5
Augsburg,Bayern Munich,A,85,98,26,42,90,68,14,15,0,0,1,4,3,1,3,1,15.0,6.5,1.2
Darmstadt,RB Leipzig,A,70,111,20,46,115,124,11,20,0,0,2,5,2,2,3,1,6.0,3.8,1.62
Dortmund,Schalke 04,D,113,84,52,35,70,119,11,18,1,0,5,1,2,2,0,4,1.57,4.33,5.5
Mainz,Ingolstadt,H,71,78,30,31,97,109,15,17,1,1,3,1,1,1,2,5,2.1,3.3,3.75
Werder Bremen,Freiburg,A,92,94,19,28,122,116,9,17,0,0,3,1,0,1,4,5,2.3,3.5,3.0
Wolfsburg,Leverkusen,A,82,92,32,19,112,102,12,13,1,0,0,3,2,0,5,4,2.7,3.4,2.6
FC Koln,Hamburg,H,98,78,27,21,115,139,15,18,1,2,4,1,3,2,0,4,1.57,3.8,6.5
Hoffenheim,Hertha,H,111,57,33,12,94,109,9,15,0,1,4,2,3,3,0,2,2.25,3.4,3.2
Hertha,M'gladbach,H,89,37,34,16,84,74,8,8,1,1,6,0,0,1,1,5,2.5,3.2,3.0
Bayern Munich,Hoffenheim,D,150,93,61,28,70,132,4,14,0,0,6,2,2,5,0,0,1.17,8.0,15.0
Ein Frankfurt,FC Koln,H,87,67,33,28,132,94,22,16,3,0,4,2,3,2,0,3,2.6,3.1,2.9
Freiburg,Wolfsburg,A,92,82,35,36,84,105,16,11,1,1,5,2,0,2,2,3,2.6,3.3,2.75
Hamburg,Dortmund,A,74,85,28,41,113,88,14,10,2,0,1,2,2,2,4,3,8.0,4.25,1.45
