HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Hamburg,H,178,89,58,30,87,130,9,14,0,1,8,4,0,1,0,3,1.08,11.0,29.0
Augsburg,Hertha,A,149,68,47,24,119,107,15,20,1,2,1,3,2,1,5,4,2.0,3.4,3.9
Darmstadt,Hannover,D,77,76,29,30,120,102,18,13,0,0,1,2,4,2,3,3,2.5,3.3,2.9
Dortmund,M'gladbach,H,117,75,35,27,83,104,5,11,0,1,6,3,1,1,0,3,1.73,3.75,5.0
Leverkusen,Hoffenheim,H,132,69,63,34,97,101,13,10,1,0,3,1,2,2,2,4,1.5,4.33,6.5
Mainz,Ingolstadt,A,98,102,42,30,139,124,14,25,0,0,4,3,0,3,4,2,2.05,3.4,3.75
Werder Bremen,Schalke 04,A,89,78,29,32,113,110,14,19,1,1,1,3,0,1,6,3,3.0,3.4,2.38
Stuttgart,FC Koln,A,139,80,56,24,105,76,21,10,2,0,2,3,0,1,5,3,2.05,3.3,3.8
Wolfsburg,Ein Frankfurt,H,100,93,42,37,96,125,9,21,0,1,6,2,1,2,0,4,1.44,4.75,7.0
Hertha,Werder Bremen,D,64,94,28,23,90,113,6,14,0,1,4,3,1,1,1,3,2.05,3.5,3.6
Ein Frankfurt,Augsburg,D,64,51,28,15,88,103,16,15,0,0,1,1,3,2,2,3,2.25,3.4,3.25
FC Koln,Wolfsburg,D,84,93,38,24,96,101,13,15,0,2,2,1,4,3,1,3,4.2,3.8,1.83
Hamburg,Stuttgart,H,70,85,19,34,94,116,10,14,0,1,2,1,2,1,2,5,2.88,3.5,2.4
Hannover,Leverkusen,A,56,88,23,38,115,122,16,13,0,0,2,3,0,1,5,3,4.2,3.75,1.83
Hoffenheim,Bayern Munich,A,71,87,29,25,92,58,12,6,1,0,0,5,4,1,3,0,9.5,6.0,1.25
Schalke 04,Darmstadt,D,117,55,33,24,105,108,12,13,0,0,3,2,2,2,2,2,1.44,4.5,7.5
Ingolstadt,Dortmund,A,68,107,28,36,85,93,11,8,0,0,2,4,1,1,3,2,7.0,4.5,1.45
M'gladbach,Mainz,A,107,62,36,21,108,92,12,10,1,0,4,2,1,2,2,2,1.67,4.0,5.0
Wolfsburg,Schalke 04,H,100,78,42,32,96,110,9,19,0,1,6,3,1,1,0,3,2.0,3.8,3.5
Augsburg,Ingolstadt,A,149,102,47,30,119,124,15,25,1,0,1,3,2,3,5,2,2.0,3.4,3.8
Bayern Munich,Leverkusen,H,178,88,58,38,87,122,9,13,0,0,8,3,0,1,0,3,1.33,5.25,9.0
Darmstadt,Hoffenheim,D,77,69,29,34,120,101,18,10,0,0,1,1,4,2,3,4,3.0,3.3,2.4
FC Koln,Hamburg,H,84,89,38,30,96,130,13,14,0,1,2,4,4,1,1,3,1.83,3.5,4.5
Mainz,Hannover,H,98,76,42,30,139,102,14,13,0,0,4,2,0,2,4,3,2.0,3.5,3.8
Stuttgart,Ein Frankfurt,A,139,93,56,37,105,125,21,21,2,1,2,2,0,2,5,4,1.95,3.6,3.8
Dortmund,Hertha,H,117,68,35,24,83,107,5,20,0,2,6,3,1,1,0,4,1.2,6.5,17.0
Werder Bremen,M'gladbach,H,89,75,29,27,113,104,14,11,1,1,1,3,0,1,6,3,3.2,3.4,2.25
